person_uri,name,gender,era,floruit_lower,floruit_upper,wikidata,dib,birth_places,death_places
https://kg.virtualtreasury.ie/person/MacCarthy_Callaghan_c17/v1td38r,Callaghan McCarthy,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1635-01-01,1676-12-31,,https://www.dib.ie/biography/MacCarthy-Callaghan-a5121,Ireland,"Dublin, Ireland"
https://kg.virtualtreasury.ie/person/MacCarthy_Callaghan_c17/v1td38r,Callaghan Mac Carthaigh,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1635-01-01,1676-12-31,,https://www.dib.ie/biography/MacCarthy-Callaghan-a5121,Ireland,"Dublin, Ireland"
https://kg.virtualtreasury.ie/person/Molloy_Charles_c17/v149jhn,Bainbridge Mulloy,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1646-01-01,1690-12-31,,https://www.dib.ie/biography/Molloy-Mulloy-Charles-a5863,Ireland,"England, London"
https://kg.virtualtreasury.ie/person/Paulet_Charles_c18/v193pgy,Edward Powlett,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1661-01-01,1722-01-21,http://www.wikidata.org/entity/Q972705,https://www.dib.ie/biography/Paulet-Powlett-Charles-a7239,,"England, London"
https://kg.virtualtreasury.ie/person/Coote_Charles_c18/v1kxg95,Bainbridge Coote,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1655-01-01,1709-05-29,http://www.wikidata.org/entity/Q75425087,https://www.dib.ie/biography/Coote-Charles-a2019,,
https://kg.virtualtreasury.ie/person/Arthur_Daniel_c18/v1fnv95,Domhnall Arthur,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1620-01-01,1705-09-23,http://www.wikidata.org/entity/Q19325334,https://www.dib.ie/biography/Arthur-Sir-Daniel-a0230,Ireland,
https://kg.virtualtreasury.ie/person/Magennis_Arthur_c17/v1c7b4m,William Magennis,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1684-12-31,http://www.wikidata.org/entity/Q18922070,https://www.dib.ie/biography/Magennis-Arthur-a9276,,
https://kg.virtualtreasury.ie/person/Porter_Charles_c17/v17n1gs,Bainbridge Porter,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1640-01-01,1696-12-08,http://www.wikidata.org/entity/Q3666580,https://www.dib.ie/biography/Porter-Sir-Charles-a7427,England,"Dublin, Ireland"
https://kg.virtualtreasury.ie/person/Molloy_Charles_c17/v149jhn,Edward Mulloy,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1646-01-01,1690-12-31,,https://www.dib.ie/biography/Molloy-Mulloy-Charles-a5863,Ireland,"England, London"
https://kg.virtualtreasury.ie/person/Talbot_Charles_c18/v1fh1s1,Edward Talbot,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1660-07-24,1718-02-01,http://www.wikidata.org/entity/Q335817,https://www.dib.ie/biography/talbot-charles-1660-1718-15th-earl-and-1st-duke-shrewsbury-a8445,,England
https://kg.virtualtreasury.ie/person/Porter_Charles_c17/v17n1gs,Cormac Porter,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1640-01-01,1696-12-08,http://www.wikidata.org/entity/Q3666580,https://www.dib.ie/biography/Porter-Sir-Charles-a7427,England,"Dublin, Ireland"
https://kg.virtualtreasury.ie/person/Arthur_Daniel_c18/v1fnv95,Domingos Arthur,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1620-01-01,1705-09-23,http://www.wikidata.org/entity/Q19325334,https://www.dib.ie/biography/Arthur-Sir-Daniel-a0230,Ireland,
https://kg.virtualtreasury.ie/person/Wyche_Cyril_c18/v1vm3k4,Cyril Wyche,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1632-01-01,1707-12-29,http://www.wikidata.org/entity/Q5200933,https://www.dib.ie/biography/Wyche-Sir-Cyril-a9141,"Constantinople, Turkey","England, Norfolk"
https://kg.virtualtreasury.ie/person/Porter_Charles_c17/v17n1gs,Edward Porter,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1640-01-01,1696-12-08,http://www.wikidata.org/entity/Q3666580,https://www.dib.ie/biography/Porter-Sir-Charles-a7427,England,"Dublin, Ireland"
https://kg.virtualtreasury.ie/person/Magennis_Arthur_c17/v1c7b4m,Art Magennis,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1684-12-31,http://www.wikidata.org/entity/Q18922070,https://www.dib.ie/biography/Magennis-Arthur-a9276,,
https://kg.virtualtreasury.ie/person/MacCarthy_Callaghan_c17/v1td38r,Callaghan Mac Carthaig,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1635-01-01,1676-12-31,,https://www.dib.ie/biography/MacCarthy-Callaghan-a5121,Ireland,"Dublin, Ireland"
https://kg.virtualtreasury.ie/person/Paulet_Charles_c18/v193pgy,Cormac Powlett,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1661-01-01,1722-01-21,http://www.wikidata.org/entity/Q972705,https://www.dib.ie/biography/Paulet-Powlett-Charles-a7239,,"England, London"
